Iterations, Xl, Xh, Xm, Error(%), f(Xm)
1,0.000000 ,20.000000 ,0.424553 ,100.000000 ,-0.015905 
2,0.424553 ,20.000000 ,0.839742 ,0.494424 ,-0.015890 
3,0.839742 ,20.000000 ,1.245753 ,0.325916 ,-0.015874 
4,1.245753 ,20.000000 ,1.642769 ,0.241675 ,-0.015857 
5,1.642769 ,20.000000 ,2.030968 ,0.191140 ,-0.015839 
6,2.030968 ,20.000000 ,2.410523 ,0.157458 ,-0.015819 
7,2.410523 ,20.000000 ,2.781605 ,0.133406 ,-0.015797 
8,2.781605 ,20.000000 ,3.144378 ,0.115372 ,-0.015775 
9,3.144378 ,20.000000 ,3.499006 ,0.101351 ,-0.015750 
10,3.499006 ,20.000000 ,3.845646 ,0.090138 ,-0.015724 
11,3.845646 ,20.000000 ,4.184453 ,0.080968 ,-0.015696 
12,4.184453 ,20.000000 ,4.515579 ,0.073330 ,-0.015666 
13,4.515579 ,20.000000 ,4.839169 ,0.066869 ,-0.015635 
14,4.839169 ,20.000000 ,5.155370 ,0.061334 ,-0.015601 
15,5.155370 ,20.000000 ,5.464321 ,0.056540 ,-0.015565 
16,5.464321 ,20.000000 ,5.766159 ,0.052347 ,-0.015527 
17,5.766159 ,20.000000 ,6.061020 ,0.048649 ,-0.015486 
18,6.061020 ,20.000000 ,6.349035 ,0.045364 ,-0.015443 
19,6.349035 ,20.000000 ,6.630331 ,0.042426 ,-0.015398 
20,6.630331 ,20.000000 ,6.905035 ,0.039783 ,-0.015349 
21,6.905035 ,20.000000 ,7.173269 ,0.037394 ,-0.015298 
22,7.173269 ,20.000000 ,7.435153 ,0.035222 ,-0.015245 
23,7.435153 ,20.000000 ,7.690804 ,0.033241 ,-0.015188 
24,7.690804 ,20.000000 ,7.940336 ,0.031426 ,-0.015127 
25,7.940336 ,20.000000 ,8.183863 ,0.029757 ,-0.015064 
26,8.183863 ,20.000000 ,8.421493 ,0.028217 ,-0.014998 
27,8.421493 ,20.000000 ,8.653335 ,0.026792 ,-0.014927 
28,8.653335 ,20.000000 ,8.879493 ,0.025470 ,-0.014854 
29,8.879493 ,20.000000 ,9.100071 ,0.024239 ,-0.014776 
30,9.100071 ,20.000000 ,9.315170 ,0.023091 ,-0.014695 
31,9.315170 ,20.000000 ,9.524889 ,0.022018 ,-0.014610 
32,9.524889 ,20.000000 ,9.729325 ,0.021012 ,-0.014521 
33,9.729325 ,20.000000 ,9.928573 ,0.020068 ,-0.014428 
34,9.928573 ,20.000000 ,10.122728 ,0.019180 ,-0.014331 
35,10.122728 ,20.000000 ,10.311881 ,0.018343 ,-0.014229 
36,10.311881 ,20.000000 ,10.496122 ,0.017553 ,-0.014123 
37,10.496122 ,20.000000 ,10.675541 ,0.016807 ,-0.014013 
38,10.675541 ,20.000000 ,10.850225 ,0.016100 ,-0.013899 
39,10.850225 ,20.000000 ,11.020261 ,0.015429 ,-0.013780 
40,11.020261 ,20.000000 ,11.185733 ,0.014793 ,-0.013656 
41,11.185733 ,20.000000 ,11.346725 ,0.014188 ,-0.013528 
42,11.346725 ,20.000000 ,11.503319 ,0.013613 ,-0.013395 
43,11.503319 ,20.000000 ,11.655598 ,0.013065 ,-0.013258 
44,11.655598 ,20.000000 ,11.803641 ,0.012542 ,-0.013116 
45,11.803641 ,20.000000 ,11.947528 ,0.012043 ,-0.012969 
46,11.947528 ,20.000000 ,12.087339 ,0.011567 ,-0.012818 
47,12.087339 ,20.000000 ,12.223150 ,0.011111 ,-0.012663 
48,12.223150 ,20.000000 ,12.355040 ,0.010675 ,-0.012503 
49,12.355040 ,20.000000 ,12.483084 ,0.010257 ,-0.012339 
50,12.483084 ,20.000000 ,12.607358 ,0.009857 ,-0.012171 
51,12.607358 ,20.000000 ,12.727937 ,0.009474 ,-0.011998 
52,12.727937 ,20.000000 ,12.844897 ,0.009106 ,-0.011822 
53,12.844897 ,20.000000 ,12.958310 ,0.008752 ,-0.011642 
54,12.958310 ,20.000000 ,13.068251 ,0.008413 ,-0.011458 
55,13.068251 ,20.000000 ,13.174791 ,0.008087 ,-0.011270 
56,13.174791 ,20.000000 ,13.278005 ,0.007773 ,-0.011080 
57,13.278005 ,20.000000 ,13.377962 ,0.007472 ,-0.010886 
58,13.377962 ,20.000000 ,13.474736 ,0.007182 ,-0.010689 
59,13.474736 ,20.000000 ,13.568397 ,0.006903 ,-0.010489 
60,13.568397 ,20.000000 ,13.659015 ,0.006634 ,-0.010288 
61,13.659015 ,20.000000 ,13.746660 ,0.006376 ,-0.010084 
62,13.746660 ,20.000000 ,13.831403 ,0.006127 ,-0.009877 
63,13.831403 ,20.000000 ,13.913312 ,0.005887 ,-0.009670 
64,13.913312 ,20.000000 ,13.992456 ,0.005656 ,-0.009461 
65,13.992456 ,20.000000 ,14.068902 ,0.005434 ,-0.009250 
66,14.068902 ,20.000000 ,14.142719 ,0.005219 ,-0.009039 
67,14.142719 ,20.000000 ,14.213974 ,0.005013 ,-0.008827 
68,14.213974 ,20.000000 ,14.282733 ,0.004814 ,-0.008615 
69,14.282733 ,20.000000 ,14.349061 ,0.004622 ,-0.008403 
70,14.349061 ,20.000000 ,14.413024 ,0.004438 ,-0.008191 
71,14.413024 ,20.000000 ,14.474687 ,0.004260 ,-0.007980 
72,14.474687 ,20.000000 ,14.534112 ,0.004089 ,-0.007770 
73,14.534112 ,20.000000 ,14.591365 ,0.003924 ,-0.007560 
74,14.591365 ,20.000000 ,14.646505 ,0.003765 ,-0.007352 
75,14.646505 ,20.000000 ,14.699596 ,0.003612 ,-0.007145 
76,14.699596 ,20.000000 ,14.750697 ,0.003464 ,-0.006941 
77,14.750697 ,20.000000 ,14.799868 ,0.003322 ,-0.006738 
78,14.799868 ,20.000000 ,14.847169 ,0.003186 ,-0.006537 
79,14.847169 ,20.000000 ,14.892657 ,0.003054 ,-0.006339 
80,14.892657 ,20.000000 ,14.936388 ,0.002928 ,-0.006144 
81,14.936388 ,20.000000 ,14.978420 ,0.002806 ,-0.005951 
82,14.978420 ,20.000000 ,15.018807 ,0.002689 ,-0.005762 
83,15.018807 ,20.000000 ,15.057603 ,0.002576 ,-0.005575 
84,15.057603 ,20.000000 ,15.094860 ,0.002468 ,-0.005392 
85,15.094860 ,20.000000 ,15.130631 ,0.002364 ,-0.005212 
86,15.130631 ,20.000000 ,15.164965 ,0.002264 ,-0.005036 
87,15.164965 ,20.000000 ,15.197913 ,0.002168 ,-0.004864 
88,15.197913 ,20.000000 ,15.229523 ,0.002076 ,-0.004695 
89,15.229523 ,20.000000 ,15.259842 ,0.001987 ,-0.004530 
90,15.259842 ,20.000000 ,15.288916 ,0.001902 ,-0.004369 
91,15.288916 ,20.000000 ,15.316790 ,0.001820 ,-0.004212 
92,15.316790 ,20.000000 ,15.343508 ,0.001741 ,-0.004058 
93,15.343508 ,20.000000 ,15.369112 ,0.001666 ,-0.003909 
94,15.369112 ,20.000000 ,15.393644 ,0.001594 ,-0.003764 
95,15.393644 ,20.000000 ,15.417143 ,0.001524 ,-0.003622 
96,15.417143 ,20.000000 ,15.439650 ,0.001458 ,-0.003485 
97,15.439650 ,20.000000 ,15.461202 ,0.001394 ,-0.003352 
98,15.461202 ,20.000000 ,15.481835 ,0.001333 ,-0.003223 
99,15.481835 ,20.000000 ,15.501585 ,0.001274 ,-0.003097 
100,15.501585 ,20.000000 ,15.520488 ,0.001218 ,-0.002976 
101,15.520488 ,20.000000 ,15.538576 ,0.001164 ,-0.002858 
102,15.538576 ,20.000000 ,15.555882 ,0.001112 ,-0.002744 
103,15.555882 ,20.000000 ,15.572436 ,0.001063 ,-0.002634 
104,15.572436 ,20.000000 ,15.588270 ,0.001016 ,-0.002528 
105,15.588270 ,20.000000 ,15.603413 ,0.000970 ,-0.002425 
106,15.603413 ,20.000000 ,15.617892 ,0.000927 ,-0.002326 
107,15.617892 ,20.000000 ,15.631735 ,0.000886 ,-0.002230 
108,15.631735 ,20.000000 ,15.644969 ,0.000846 ,-0.002138 
109,15.644969 ,20.000000 ,15.657618 ,0.000808 ,-0.002049 
110,15.657618 ,20.000000 ,15.669707 ,0.000771 ,-0.001963 
111,15.669707 ,20.000000 ,15.681259 ,0.000737 ,-0.001881 
112,15.681259 ,20.000000 ,15.692297 ,0.000703 ,-0.001801 
113,15.692297 ,20.000000 ,15.702843 ,0.000672 ,-0.001725 
114,15.702843 ,20.000000 ,15.712918 ,0.000641 ,-0.001651 
115,15.712918 ,20.000000 ,15.722542 ,0.000612 ,-0.001581 
116,15.722542 ,20.000000 ,15.731733 ,0.000584 ,-0.001513 
117,15.731733 ,20.000000 ,15.740512 ,0.000558 ,-0.001447 
118,15.740512 ,20.000000 ,15.748895 ,0.000532 ,-0.001385 
119,15.748895 ,20.000000 ,15.756900 ,0.000508 ,-0.001325 
120,15.756900 ,20.000000 ,15.764543 ,0.000485 ,-0.001267 
121,15.764543 ,20.000000 ,15.771841 ,0.000463 ,-0.001211 
122,15.771841 ,20.000000 ,15.778807 ,0.000442 ,-0.001158 
123,15.778807 ,20.000000 ,15.785457 ,0.000421 ,-0.001107 
124,15.785457 ,20.000000 ,15.791805 ,0.000402 ,-0.001058 
125,15.791805 ,20.000000 ,15.797864 ,0.000384 ,-0.001011 
126,15.797864 ,20.000000 ,15.803647 ,0.000366 ,-0.000967 
127,15.803647 ,20.000000 ,15.809165 ,0.000349 ,-0.000924 
128,15.809165 ,20.000000 ,15.814432 ,0.000333 ,-0.000882 
129,15.814432 ,20.000000 ,15.819458 ,0.000318 ,-0.000843 
130,15.819458 ,20.000000 ,15.824253 ,0.000303 ,-0.000805 
131,15.824253 ,20.000000 ,15.828829 ,0.000289 ,-0.000769 
132,15.828829 ,20.000000 ,15.833195 ,0.000276 ,-0.000734 
133,15.833195 ,20.000000 ,15.837360 ,0.000263 ,-0.000701 
134,15.837360 ,20.000000 ,15.841334 ,0.000251 ,-0.000670 
135,15.841334 ,20.000000 ,15.845125 ,0.000239 ,-0.000639 
136,15.845125 ,20.000000 ,15.848741 ,0.000228 ,-0.000610 
137,15.848741 ,20.000000 ,15.852191 ,0.000218 ,-0.000583 
138,15.852191 ,20.000000 ,15.855482 ,0.000208 ,-0.000556 
139,15.855482 ,20.000000 ,15.858621 ,0.000198 ,-0.000531 
140,15.858621 ,20.000000 ,15.861615 ,0.000189 ,-0.000507 
141,15.861615 ,20.000000 ,15.864470 ,0.000180 ,-0.000484 
142,15.864470 ,20.000000 ,15.867194 ,0.000172 ,-0.000462 
143,15.867194 ,20.000000 ,15.869791 ,0.000164 ,-0.000441 
144,15.869791 ,20.000000 ,15.872269 ,0.000156 ,-0.000420 
145,15.872269 ,20.000000 ,15.874631 ,0.000149 ,-0.000401 
