Iterations, Xl, Xh, Xm, Error(%), f(Xm)
1,1.000000 ,20.000004 ,1.402460 ,0.000000 ,-0.015868 
2,1.402460 ,20.000004 ,1.795995 ,0.219118 ,-0.015850 
3,1.795995 ,20.000004 ,2.180782 ,0.176444 ,-0.015831 
4,2.180782 ,20.000004 ,2.556992 ,0.147130 ,-0.015811 
5,2.556992 ,20.000004 ,2.924794 ,0.125753 ,-0.015789 
6,2.924794 ,20.000004 ,3.284352 ,0.109476 ,-0.015765 
7,3.284352 ,20.000004 ,3.635828 ,0.096670 ,-0.015740 
8,3.635828 ,20.000004 ,3.979376 ,0.086332 ,-0.015713 
9,3.979376 ,20.000004 ,4.315152 ,0.077813 ,-0.015685 
10,4.315152 ,20.000004 ,4.643304 ,0.070672 ,-0.015654 
11,4.643304 ,20.000004 ,4.963978 ,0.064600 ,-0.015622 
12,4.963978 ,20.000004 ,5.277318 ,0.059375 ,-0.015587 
13,5.277318 ,20.000004 ,5.583462 ,0.054831 ,-0.015550 
14,5.583462 ,20.000004 ,5.882548 ,0.050843 ,-0.015511 
15,5.882548 ,20.000004 ,6.174708 ,0.047316 ,-0.015470 
16,6.174708 ,20.000004 ,6.460072 ,0.044174 ,-0.015426 
17,6.460072 ,20.000004 ,6.738768 ,0.041357 ,-0.015379 
18,6.738768 ,20.000004 ,7.010919 ,0.038818 ,-0.015330 
19,7.010919 ,20.000004 ,7.276648 ,0.036518 ,-0.015278 
20,7.276648 ,20.000004 ,7.536073 ,0.034424 ,-0.015223 
21,7.536073 ,20.000004 ,7.789311 ,0.032511 ,-0.015164 
22,7.789311 ,20.000004 ,8.036475 ,0.030755 ,-0.015103 
23,8.036475 ,20.000004 ,8.277676 ,0.029139 ,-0.015038 
24,8.277676 ,20.000004 ,8.513023 ,0.027646 ,-0.014970 
25,8.513023 ,20.000004 ,8.742624 ,0.026262 ,-0.014899 
26,8.742624 ,20.000004 ,8.966582 ,0.024977 ,-0.014824 
27,8.966582 ,20.000004 ,9.184999 ,0.023780 ,-0.014745 
28,9.184999 ,20.000004 ,9.397976 ,0.022662 ,-0.014662 
29,9.397976 ,20.000004 ,9.605612 ,0.021616 ,-0.014576 
30,9.605612 ,20.000004 ,9.808003 ,0.020635 ,-0.014485 
31,9.808003 ,20.000004 ,10.005243 ,0.019714 ,-0.014390 
32,10.005243 ,20.000004 ,10.197425 ,0.018846 ,-0.014292 
33,10.197425 ,20.000004 ,10.384642 ,0.018028 ,-0.014188 
34,10.384642 ,20.000004 ,10.566982 ,0.017256 ,-0.014081 
35,10.566982 ,20.000004 ,10.744534 ,0.016525 ,-0.013969 
36,10.744534 ,20.000004 ,10.917386 ,0.015833 ,-0.013853 
37,10.917386 ,20.000004 ,11.085622 ,0.015176 ,-0.013732 
38,11.085622 ,20.000004 ,11.249327 ,0.014552 ,-0.013606 
39,11.249327 ,20.000004 ,11.408586 ,0.013959 ,-0.013476 
40,11.408586 ,20.000004 ,11.563478 ,0.013395 ,-0.013342 
41,11.563478 ,20.000004 ,11.714087 ,0.012857 ,-0.013203 
42,11.714087 ,20.000004 ,11.860492 ,0.012344 ,-0.013059 
43,11.860492 ,20.000004 ,12.002772 ,0.011854 ,-0.012911 
44,12.002772 ,20.000004 ,12.141006 ,0.011386 ,-0.012758 
45,12.141006 ,20.000004 ,12.275271 ,0.010938 ,-0.012601 
46,12.275271 ,20.000004 ,12.405644 ,0.010509 ,-0.012439 
47,12.405644 ,20.000004 ,12.532201 ,0.010099 ,-0.012273 
48,12.532201 ,20.000004 ,12.655019 ,0.009705 ,-0.012104 
49,12.655019 ,20.000004 ,12.774171 ,0.009328 ,-0.011930 
50,12.774171 ,20.000004 ,12.889732 ,0.008965 ,-0.011752 
51,12.889732 ,20.000004 ,13.001775 ,0.008618 ,-0.011570 
52,13.001775 ,20.000004 ,13.110375 ,0.008283 ,-0.011385 
53,13.110375 ,20.000004 ,13.215603 ,0.007962 ,-0.011196 
54,13.215603 ,20.000004 ,13.317532 ,0.007654 ,-0.011004 
55,13.317532 ,20.000004 ,13.416234 ,0.007357 ,-0.010809 
56,13.416234 ,20.000004 ,13.511779 ,0.007071 ,-0.010611 
57,13.511779 ,20.000004 ,13.604239 ,0.006796 ,-0.010411 
58,13.604239 ,20.000004 ,13.693684 ,0.006532 ,-0.010208 
